team_name,main_league,main_league_common_id,country,team_name_website,website,team_common_id
macarthur fc,A-League,347,macarthur fc,macarthur fc,PaddyPower,126
ws wanderers,A-League,347,Australia,western sydney wanderers,PaddyPower,127
melbourne city,A-League,347,Australia,melbourne city,PaddyPower,128
sydney fc,A-League,347,Australia,sydney fc,PaddyPower,129
adelaide united,A-League,347,Australia,adelaide united,PaddyPower,130
brisbane roar,A-League,347,Australia,brisbane roar,PaddyPower,131
newcastle jets,A-League,347,Australia,newcastle jets,PaddyPower,132
perth glory,A-League,347,Australia,perth glory,PaddyPower,133
western united,A-League,347,Australia,western united,PaddyPower,134
midtjylland,Superliga,348,Denmark,midtjylland,PaddyPower,135
brondby,Superliga,348,Denmark,brondby,PaddyPower,136
fc copenhagen,Superliga,348,Denmark,fc copenhagen,PaddyPower,137
aarhus,Superliga,348,Denmark,agf,PaddyPower,138
nordsjaelland,Superliga,348,Denmark,fc nordsjaelland,PaddyPower,139
silkeborg,Superliga,348,Denmark,silkeborg,PaddyPower,140
lyngby,Superliga,348,Denmark,lyngby,PaddyPower,141
viborg,Superliga,348,Denmark,viborg,PaddyPower,142
odense,Superliga,348,Denmark,ob,PaddyPower,143
randers fc,Superliga,348,Denmark,randers,PaddyPower,144
vejle,Superliga,348,Denmark,vejle,PaddyPower,145
hvidovre if,Superliga,348,Denmark,hvidovre,PaddyPower,146
psg,Ligue 1,349,France,paris st-g,PaddyPower,147
nice,Ligue 1,349,France,nice,PaddyPower,148
brest,Ligue 1,349,France,brest,PaddyPower,149
lille,Ligue 1,349,France,lille,PaddyPower,150
monaco,Ligue 1,349,France,monaco,PaddyPower,151
lens,Ligue 1,349,France,lens,PaddyPower,152
reims,Ligue 1,349,France,reims,PaddyPower,153
marseille,Ligue 1,349,France,marseille,PaddyPower,154
rennes,Ligue 1,349,France,rennes,PaddyPower,155
strasbourg,Ligue 1,349,France,strasbourg,PaddyPower,156
le havre,Ligue 1,349,France,le havre,PaddyPower,157
toulouse,Ligue 1,349,France,toulouse,PaddyPower,158
montpellier,Ligue 1,349,France,montpellier,PaddyPower,159
nantes,Ligue 1,349,France,nantes,PaddyPower,160
lyon,Ligue 1,349,France,lyon,PaddyPower,161
metz,Ligue 1,349,France,metz,PaddyPower,162
lorient,Ligue 1,349,France,lorient,PaddyPower,163
clermont,Ligue 1,349,France,clermont,PaddyPower,164
angers,Ligue 2,350,France,angers,PaddyPower,165
auxerre,Ligue 2,350,France,auxerre,PaddyPower,166
grenoble,Ligue 2,350,France,grenoble,PaddyPower,167
laval,Ligue 2,350,France,laval,PaddyPower,168
amiens,Ligue 2,350,France,amiens,PaddyPower,169
pau fc,Ligue 2,350,France,pau,PaddyPower,170
caen,Ligue 2,350,France,caen,PaddyPower,171
ac ajaccio,Ligue 2,350,France,ac ajaccio,PaddyPower,172
guingamp,Ligue 2,350,France,guingamp,PaddyPower,173
paris fc,Ligue 2,350,France,paris fc,PaddyPower,174
st etienne,Ligue 2,350,France,st etienne,PaddyPower,175
rodez,Ligue 2,350,France,rodez,PaddyPower,176
bordeaux,Ligue 2,350,France,bordeaux,PaddyPower,177
concarneau,Ligue 2,350,France,concarneau,PaddyPower,178
troyes,Ligue 2,350,France,estac troyes,PaddyPower,179
bastia,Ligue 2,350,France,bastia,PaddyPower,180
annecy,Ligue 2,350,France,annecy,PaddyPower,181
dunkerque,Ligue 2,350,France,dunkerque,PaddyPower,182
quevilly rouen,Ligue 2,350,France,quevilly,PaddyPower,183
valenciennes,Ligue 2,350,France,valenciennes,PaddyPower,184
bayer leverkusen,Bundesliga,351,Germany,leverkusen,PaddyPower,185
bayern munich,Bundesliga,351,Germany,bayern munich,PaddyPower,186
stuttgart,Bundesliga,351,Germany,stuttgart,PaddyPower,187
dortmund,Bundesliga,351,Germany,dortmund,PaddyPower,188
rb leipzig,Bundesliga,351,Germany,rb leipzig,PaddyPower,189
eintracht frankfurt,Bundesliga,351,Germany,eintracht frankfurt,PaddyPower,190
freiburg,Bundesliga,351,Germany,freiburg,PaddyPower,191
hoffenheim,Bundesliga,351,Germany,hoffenheim,PaddyPower,192
werder bremen,Bundesliga,351,Germany,werder bremen,PaddyPower,193
heidenheim,Bundesliga,351,Germany,fc heidenheim,PaddyPower,194
wolfsburg,Bundesliga,351,Germany,wolfsburg,PaddyPower,195
augsburg,Bundesliga,351,Germany,augsburg,PaddyPower,196
borussia monchengladbach,Bundesliga,351,Germany,mgladbach,PaddyPower,197
bochum,Bundesliga,351,Germany,bochum,PaddyPower,198
union berlin,Bundesliga,351,Germany,union berlin,PaddyPower,199
fc koln,Bundesliga,351,Germany,fc koln,PaddyPower,200
mainz,Bundesliga,351,Germany,mainz,PaddyPower,201
darmstadt,Bundesliga,351,Germany,sv darmstadt,PaddyPower,202
st. pauli,2. Bundesliga,352,Germany,st pauli,PaddyPower,203
hamburger sv,2. Bundesliga,352,Germany,hamburger sv,PaddyPower,204
holstein kiel,2. Bundesliga,352,Germany,holstein kiel,PaddyPower,205
greuther furth,2. Bundesliga,352,Germany,greuther furth,PaddyPower,206
dusseldorf,2. Bundesliga,352,Germany,fortuna dusseldorf,PaddyPower,207
hannover,2. Bundesliga,352,Germany,hannover,PaddyPower,208
paderborn,2. Bundesliga,352,Germany,paderborn,PaddyPower,209
karlsruher sc,2. Bundesliga,352,Germany,karlsruhe,PaddyPower,210
elversberg,2. Bundesliga,352,Germany,elversberg,PaddyPower,211
nurnberg,2. Bundesliga,352,Germany,nurnberg,PaddyPower,212
hertha berlin,2. Bundesliga,352,Germany,hertha berlin,PaddyPower,213
wehen,2. Bundesliga,352,Germany,wehen wiesbaden,PaddyPower,214
magdeburg,2. Bundesliga,352,Germany,fc magdeburg,PaddyPower,215
schalke,2. Bundesliga,352,Germany,schalke 04,PaddyPower,216
kaiserslautern,2. Bundesliga,352,Germany,kaiserslautern,PaddyPower,217
hansa rostock,2. Bundesliga,352,Germany,hansa rostock,PaddyPower,218
braunschweig,2. Bundesliga,352,Germany,braunschweig,PaddyPower,219
vfl osnabruck,2. Bundesliga,352,Germany,vfl osnabruck,PaddyPower,220
inter,Serie A,353,Italy,inter,PaddyPower,221
juventus,Serie A,353,Italy,juventus,PaddyPower,222
ac milan,Serie A,353,Italy,ac milan,PaddyPower,223
atalanta,Serie A,353,Italy,atalanta,PaddyPower,224
as roma,Serie A,353,Italy,roma,PaddyPower,225
bologna,Serie A,353,Italy,bologna,PaddyPower,226
napoli,Serie A,353,Italy,napoli,PaddyPower,227
fiorentina,Serie A,353,Italy,fiorentina,PaddyPower,228
lazio,Serie A,353,Italy,lazio,PaddyPower,229
torino,Serie A,353,Italy,torino,PaddyPower,230
genoa,Serie A,353,Italy,genoa,PaddyPower,231
monza,Serie A,353,Italy,ac monza,PaddyPower,232
lecce,Serie A,353,Italy,lecce,PaddyPower,233
forsinone,Serie A,353,Italy,frosinone,PaddyPower,234
sassuolo,Serie A,353,Italy,sassuolo,PaddyPower,235
udinese,Serie A,353,Italy,udinese,PaddyPower,236
verona,Serie A,353,Italy,verona,PaddyPower,237
cagliari,Serie A,353,Italy,cagliari,PaddyPower,238
empoli,Serie A,353,Italy,empoli,PaddyPower,239
salernitana,Serie A,353,Italy,salernitana,PaddyPower,240
parma,Serie B,354,Italy,parma,PaddyPower,241
cremonese,Serie B,354,Italy,us cremonese,PaddyPower,242
como,Serie B,354,Italy,como,PaddyPower,243
venezia,Serie B,354,Italy,venezia,PaddyPower,244
palermo,Serie B,354,Italy,palermo,PaddyPower,245
cittadella,Serie B,354,Italy,cittadella,PaddyPower,246
catanzaro,Serie B,354,Italy,catanzaro,PaddyPower,247
brescia,Serie B,354,Italy,brescia,PaddyPower,248
modena,Serie B,354,Italy,modena,PaddyPower,249
reggiana,Serie B,354,Italy,reggiana,PaddyPower,250
cosenza,Serie B,354,Italy,cosenza,PaddyPower,251
sudtirol,Serie B,354,Italy,sudtirol,PaddyPower,252
pisa,Serie B,354,Italy,pisa,PaddyPower,253
sampdoria,Serie B,354,Italy,sampdoria,PaddyPower,254
bari,Serie B,354,Italy,ssd bari,PaddyPower,255
