team_name,main_league,main_league_common_id,country,team_name_website,website,team_common_id
ws wanderers,A-League,347,Australia,western sydney wanderers,Pinnacle,127
melbourne city,A-League,347,Australia,melbourne city,Pinnacle,128
sydney fc,A-League,347,Australia,sydney fc,Pinnacle,129
adelaide united,A-League,347,Australia,adelaide united,Pinnacle,130
brisbane roar,A-League,347,Australia,brisbane roar,Pinnacle,131
newcastle jets,A-League,347,Australia,newcastle jets,Pinnacle,132
perth glory,A-League,347,Australia,perth glory,Pinnacle,133
western united,A-League,347,Australia,western united,Pinnacle,134
midtjylland,Superliga,348,Denmark,fc midtjylland,Pinnacle,135
brondby,Superliga,348,Denmark,brondby if,Pinnacle,136
fc copenhagen,Superliga,348,Denmark,fc copenhagen,Pinnacle,137
aarhus,Superliga,348,Denmark,agf aarhus,Pinnacle,138
nordsjaelland,Superliga,348,Denmark,fc nordsjaelland,Pinnacle,139
silkeborg,Superliga,348,Denmark,silkeborg if,Pinnacle,140
lyngby,Superliga,348,Denmark,lyngby,Pinnacle,141
viborg,Superliga,348,Denmark,viborg ff,Pinnacle,142
odense,Superliga,348,Denmark,ob odense bk,Pinnacle,143
randers fc,Superliga,348,Denmark,randers fc,Pinnacle,144
vejle,Superliga,348,Denmark,velje boldklub,Pinnacle,145
hvidovre if,Superliga,348,Denmark,hvidovre,Pinnacle,146
psg,Ligue 1,349,France,paris saint germain,Pinnacle,147
nice,Ligue 1,349,France,nice,Pinnacle,148
brest,Ligue 1,349,France,brest,Pinnacle,149
lille,Ligue 1,349,France,lille,Pinnacle,150
monaco,Ligue 1,349,France,as monaco,Pinnacle,151
lens,Ligue 1,349,France,lens,Pinnacle,152
reims,Ligue 1,349,France,reims,Pinnacle,153
marseille,Ligue 1,349,France,marseille,Pinnacle,154
rennes,Ligue 1,349,France,rennes,Pinnacle,155
strasbourg,Ligue 1,349,France,strasbourg,Pinnacle,156
le havre,Ligue 1,349,France,le havre,Pinnacle,157
toulouse,Ligue 1,349,France,toulouse fc,Pinnacle,158
montpellier,Ligue 1,349,France,montpellier hsc,Pinnacle,159
nantes,Ligue 1,349,France,nantes,Pinnacle,160
lyon,Ligue 1,349,France,lyon,Pinnacle,161
metz,Ligue 1,349,France,metz,Pinnacle,162
lorient,Ligue 1,349,France,lorient,Pinnacle,163
clermont,Ligue 1,349,France,clermont,Pinnacle,164
angers,Ligue 2,350,France,angers sco,Pinnacle,165
auxerre,Ligue 2,350,France,auxerre,Pinnacle,166
grenoble,Ligue 2,350,France,grenoble,Pinnacle,167
laval,Ligue 2,350,France,stade lavallois,Pinnacle,168
amiens,Ligue 2,350,France,amiens,Pinnacle,169
pau fc,Ligue 2,350,France,pau fc,Pinnacle,170
caen,Ligue 2,350,France,caen,Pinnacle,171
ac ajaccio,Ligue 2,350,France,ac ajaccio,Pinnacle,172
guingamp,Ligue 2,350,France,guingamp,Pinnacle,173
paris fc,Ligue 2,350,France,paris fc,Pinnacle,174
st etienne,Ligue 2,350,France,st etienne,Pinnacle,175
rodez,Ligue 2,350,France,rodez,Pinnacle,176
bordeaux,Ligue 2,350,France,bordeaux,Pinnacle,177
concarneau,Ligue 2,350,France,concarneau,Pinnacle,178
troyes,Ligue 2,350,France,troyes ac,Pinnacle,179
bastia,Ligue 2,350,France,bastia,Pinnacle,180
annecy,Ligue 2,350,France,annecy,Pinnacle,181
dunkerque,Ligue 2,350,France,dunkerque,Pinnacle,182
quevilly rouen,Ligue 2,350,France,quevilly,Pinnacle,183
valenciennes,Ligue 2,350,France,valenciennes fc,Pinnacle,184
bayer leverkusen,Bundesliga,351,Germany,bayer leverkusen,Pinnacle,185
bayern munich,Bundesliga,351,Germany,bayern munich,Pinnacle,186
stuttgart,Bundesliga,351,Germany,stuttgart,Pinnacle,187
dortmund,Bundesliga,351,Germany,borussia dortmund,Pinnacle,188
rb leipzig,Bundesliga,351,Germany,rb leipzig,Pinnacle,189
eintracht frankfurt,Bundesliga,351,Germany,eintracht frankfurt,Pinnacle,190
freiburg,Bundesliga,351,Germany,freiburg,Pinnacle,191
hoffenheim,Bundesliga,351,Germany,hoffenheim,Pinnacle,192
werder bremen,Bundesliga,351,Germany,werder bremen,Pinnacle,193
heidenheim,Bundesliga,351,Germany,fc heidenheim,Pinnacle,194
wolfsburg,Bundesliga,351,Germany,wolfsburg,Pinnacle,195
augsburg,Bundesliga,351,Germany,augsburg,Pinnacle,196
borussia monchengladbach,Bundesliga,351,Germany,borussia monchengladbach,Pinnacle,197
bochum,Bundesliga,351,Germany,bochum,Pinnacle,198
union berlin,Bundesliga,351,Germany,union berlin,Pinnacle,199
fc koln,Bundesliga,351,Germany,fc koln,Pinnacle,200
mainz,Bundesliga,351,Germany,mainz 05,Pinnacle,201
darmstadt,Bundesliga,351,Germany,darmstadt,Pinnacle,202
st. pauli,2. Bundesliga,352,Germany,st pauli,Pinnacle,203
hamburger sv,2. Bundesliga,352,Germany,hamburger sv,Pinnacle,204
holstein kiel,2. Bundesliga,352,Germany,holstein kiel,Pinnacle,205
greuther furth,2. Bundesliga,352,Germany,greuther furth,Pinnacle,206
dusseldorf,2. Bundesliga,352,Germany,fortuna dusseldorf,Pinnacle,207
hannover,2. Bundesliga,352,Germany,hannover 96,Pinnacle,208
paderborn,2. Bundesliga,352,Germany,paderborn,Pinnacle,209
karlsruher sc,2. Bundesliga,352,Germany,karlsruher sc,Pinnacle,210
elversberg,2. Bundesliga,352,Germany,elversberg,Pinnacle,211
nurnberg,2. Bundesliga,352,Germany,nurnberg,Pinnacle,212
hertha berlin,2. Bundesliga,352,Germany,hertha berlin,Pinnacle,213
wehen,2. Bundesliga,352,Germany,wehen wiesbaden,Pinnacle,214
magdeburg,2. Bundesliga,352,Germany,fc magdeburg,Pinnacle,215
schalke,2. Bundesliga,352,Germany,schalke 04,Pinnacle,216
kaiserslautern,2. Bundesliga,352,Germany,kaiserslautern,Pinnacle,217
hansa rostock,2. Bundesliga,352,Germany,hansa rostock,Pinnacle,218
braunschweig,2. Bundesliga,352,Germany,eintracht braunschweig,Pinnacle,219
vfl osnabruck,2. Bundesliga,352,Germany,osnabruck,Pinnacle,220
inter,Serie A,353,Italy,fc internazionale,Pinnacle,221
juventus,Serie A,353,Italy,juventus,Pinnacle,222
ac milan,Serie A,353,Italy,ac milan,Pinnacle,223
atalanta,Serie A,353,Italy,atalanta bc,Pinnacle,224
as roma,Serie A,353,Italy,as roma,Pinnacle,225
bologna,Serie A,353,Italy,bologna,Pinnacle,226
napoli,Serie A,353,Italy,napoli,Pinnacle,227
fiorentina,Serie A,353,Italy,fiorentina,Pinnacle,228
lazio,Serie A,353,Italy,lazio,Pinnacle,229
torino,Serie A,353,Italy,torino,Pinnacle,230
genoa,Serie A,353,Italy,genoa,Pinnacle,231
monza,Serie A,353,Italy,ac monza,Pinnacle,232
lecce,Serie A,353,Italy,lecce,Pinnacle,233
forsinone,Serie A,353,Italy,frosinone,Pinnacle,234
sassuolo,Serie A,353,Italy,sassuolo,Pinnacle,235
udinese,Serie A,353,Italy,udinese,Pinnacle,236
verona,Serie A,353,Italy,hellas verona fc,Pinnacle,237
cagliari,Serie A,353,Italy,cagliari,Pinnacle,238
empoli,Serie A,353,Italy,empoli,Pinnacle,239
salernitana,Serie A,353,Italy,salkernitana,Pinnacle,240
parma,Serie B,354,Italy,parma,Pinnacle,241
cremonese,Serie B,354,Italy,cremonese,Pinnacle,242
como,Serie B,354,Italy,como,Pinnacle,243
venezia,Serie B,354,Italy,venezia,Pinnacle,244
palermo,Serie B,354,Italy,palermo,Pinnacle,245
cittadella,Serie B,354,Italy,cittadella,Pinnacle,246
catanzaro,Serie B,354,Italy,catanzaro,Pinnacle,247
brescia,Serie B,354,Italy,brescia,Pinnacle,248
modena,Serie B,354,Italy,modena,Pinnacle,249
reggiana,Serie B,354,Italy,reggiana,Pinnacle,250
cosenza,Serie B,354,Italy,cosenza,Pinnacle,251
sudtirol,Serie B,354,Italy,suditrol,Pinnacle,252
