team_name,display_name,main_league,main_league_common_id,country
laval,Laval,Ligue 2,350,France
amiens,Amiens,Ligue 2,350,France
pau fc,Pau FC,Ligue 2,350,France
caen,Caen,Ligue 2,350,France
ac ajaccio,AC Ajaccio,Ligue 2,350,France
guingamp,Guingamp,Ligue 2,350,France
paris fc,Paris FC,Ligue 2,350,France
st etienne,St Etienne,Ligue 2,350,France
rodez,Rodez,Ligue 2,350,France
bordeaux,Bordeaux,Ligue 2,350,France
concarneau,Concarneau,Ligue 2,350,France
troyes,Troyes,Ligue 2,350,France
bastia,Bastia,Ligue 2,350,France
annecy,Annecy,Ligue 2,350,France
dunkerque,Dunkerque,Ligue 2,350,France
quevilly rouen,Quevilly Rouen,Ligue 2,350,France
valenciennes,Valenciennes,Ligue 2,350,France
bayer leverkusen,Bayer Leverkusen,Bundesliga,351,Germany
bayern munich,Bayern Munich,Bundesliga,351,Germany
stuttgart,Stuttgart,Bundesliga,351,Germany
dortmund,Dortmund,Bundesliga,351,Germany
rb leipzig,RB Leipzig,Bundesliga,351,Germany
eintracht frankfurt,Eintracht Frankfurt,Bundesliga,351,Germany
freiburg,Freiburg,Bundesliga,351,Germany
hoffenheim,Hoffenheim,Bundesliga,351,Germany
werder bremen,Werder Bremen,Bundesliga,351,Germany
heidenheim,Heidenheim,Bundesliga,351,Germany
wolfsburg,Wolfsburg,Bundesliga,351,Germany
augsburg,Augsburg,Bundesliga,351,Germany
borussia monchengladbach,Borussia Monchengladbach,Bundesliga,351,Germany
bochum,Bochum,Bundesliga,351,Germany
union berlin,Union Berlin,Bundesliga,351,Germany
fc koln,FC Koln,Bundesliga,351,Germany
mainz,Mainz,Bundesliga,351,Germany
darmstadt,Darmstadt,Bundesliga,351,Germany
st. pauli,St. Pauli,2. Bundesliga,352,Germany
hamburger sv,Hamburger SV,2. Bundesliga,352,Germany
holstein kiel,Holstein Kiel,2. Bundesliga,352,Germany
greuther furth,Greuther Furth,2. Bundesliga,352,Germany
dusseldorf,Dusseldorf,2. Bundesliga,352,Germany
hannover,Hannover,2. Bundesliga,352,Germany
paderborn,Paderborn,2. Bundesliga,352,Germany
karlsruher sc,Karlsruher SC,2. Bundesliga,352,Germany
elversberg,Elversberg,2. Bundesliga,352,Germany
nurnberg,Nurnberg,2. Bundesliga,352,Germany
hertha berlin,Hertha Berlin,2. Bundesliga,352,Germany
wehen,Wehen,2. Bundesliga,352,Germany
magdeburg,Magdeburg,2. Bundesliga,352,Germany
schalke,Schalke,2. Bundesliga,352,Germany
kaiserslautern,Kaiserslautern,2. Bundesliga,352,Germany
hansa rostock,Hansa Rostock,2. Bundesliga,352,Germany
braunschweig,Braunschweig,2. Bundesliga,352,Germany
vfl osnabruck,VFL Osnabruck,2. Bundesliga,352,Germany
inter,Inter,Serie A,353,Italy
juventus,Juventus,Serie A,353,Italy
ac milan,AC Milan,Serie A,353,Italy
atalanta,Atalanta,Serie A,353,Italy
as roma,AS Roma,Serie A,353,Italy
bologna,Bologna,Serie A,353,Italy
napoli,Napoli,Serie A,353,Italy
fiorentina,Fiorentina,Serie A,353,Italy
lazio,Lazio,Serie A,353,Italy
torino,Torino,Serie A,353,Italy
genoa,Genoa,Serie A,353,Italy
monza,Monza,Serie A,353,Italy
lecce,Lecce,Serie A,353,Italy
forsinone,Frosinone,Serie A,353,Italy
sassuolo,Sassuolo,Serie A,353,Italy
udinese,Udinese,Serie A,353,Italy
verona,Verona,Serie A,353,Italy
cagliari,Cagliari,Serie A,353,Italy
empoli,Empoli,Serie A,353,Italy
salernitana,Salernitana,Serie A,353,Italy
parma,Parma,Serie B,354,Italy
cremonese,Cremonese,Serie B,354,Italy
como,Como,Serie B,354,Italy
venezia,Venezia,Serie B,354,Italy
palermo,Palermo,Serie B,354,Italy
cittadella,Citadella,Serie B,354,Italy
catanzaro,Catanzaro,Serie B,354,Italy
brescia,Brescia,Serie B,354,Italy
modena,Modena,Serie B,354,Italy
reggiana,Reggiana,Serie B,354,Italy
cosenza,Cosenza,Serie B,354,Italy
sudtirol,Sudtirol,Serie B,354,Italy
pisa,Pisa,Serie B,354,Italy
sampdoria,Sampdoria,Serie B,354,Italy
bari,Bari,Serie B,354,Italy
ascoli,Ascoli,Serie B,354,Italy
ternana,Ternana,Serie B,354,Italy
feralpisalo,FerapliSalo,Serie B,354,Italy
spezia,Spezia,Serie B,354,Italy
lecco,Lecco,Serie B,354,Italy
sagan tosu,Sagan Tosu,J1 League,355,Japan
avispa fukuoka,Avispa Fukuoka,J1 League,355,Japan
shonan bellmare,Shonan Bellmare,J1 League,355,Japan
cerezo osaka,Cerezo Osaka,J1 League,355,Japan
verdy,Verdy,J1 League,355,Japan
albirex niigata,Albirex Niigata,J1 League,355,Japan
kyoto,Kyoto,J1 League,355,Japan
nagoya grampus,Nagoya Grampus,J1 League,355,Japan
yokohama f. marinos,Yokohama F. Marinos,J1 League,355,Japan
kawasaki frontale,Kawasaki Frontale,J1 League,355,Japan
hokkaido consadole sapporo ,Hokkaido Consadole Sapporo ,J1 League,355,Japan
kashiwa reysol,Kashiwa Reysol,J1 League,355,Japan
vissel kobe,Vissel Kobe,J1 League,355,Japan
